,Location's,Name Of The River,Latitude,Longitude
0,Location-1,1074-RIVER GANGA AT BUXAR,25.57350,83.966669
1,Location-2,"1077-RIVER GANGA AT KURJI, PATNA U/S",25.65086,85.115085
2,Location-3,"1079-RIVER GANGA AT PATNA D/S (GANGA BRIDGE), GAIGHAT",25.61375,85.204131
3,Location-4,1815-RIVER GANGA AT MOKAMA (D/S),25.38144,85.987169
4,Location-5,1816-RIVER GANGA AT KAHALGAON,25.26733,87.227318
5,Location-6,"1817-RIVER GANGA AT MOKAMA (U/S), MAHADEO ASTHAN, PATNA",25.40110,85.923198
6,Location-7,1818-RIVER GANGA AT MUNGER,25.38497,86.458978
7,Location-8,1819-RIVER GANGA AT BHAGALPUR,25.25438,86.948424
8,Location-9,"2551-RIVER GANGA AT BUXAR, RAMREKHAGHAT",25.57614,83.970428
9,Location-10,"2552-RIVER GANGA AT GANDHIGHAT, NIT AT PATNA",25.62217,85.172816
10,Location-11,"2553-RIVER GANGA AT KEWALA GHAT,FATUHA, PATNA",25.51161,85.307417
11,Location-12,"2554-RIVER GANGA AT SULTANGANJ, BHAGALPUR",25.25751,86.747053
12,Location-13,"2564-RIVER GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",25.70844,84.889727
13,Location-14,3113-RIVER GANGA AT D/S BUXAR NEAR ROAD BRIDGE,25.58897,83.985861
14,Location-15,"3114-RIVER GANGA NEAR DANAPUR (NEAR PIPA PUL) ,PATNA",25.58897,83.985861
15,Location-16,3115-RIVER GANGA AT BARH,25.48727,85.705236
16,Location-17,3116-RIVER GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),25.36817,86.464302
17,Location-18,"3117-RIVER GANGA AT U/S SULTANGANJ, BHAGALPUR",25.25257,86.725558
18,Location-19,3118-RIVER GANGA AT U/S BHAGALPUR NEAR BARARIGHAT,25.27160,87.025665
19,Location-20,"3122-RIVER GANGA AT MALSALAMI, PATNA",25.55780,85.275648
