,DateTime,Date,Time,BTX(µg/ml)
0,04 Aug 14:26,04 Aug 2021,14:26:24,0.0
1,09 Aug 12:57,09 Aug 2021,12:57:04,0.01
2,09 Aug 13:57,09 Aug 2021,13:57:19,0.02
3,09 Aug 15:16,09 Aug 2021,15:16:19,0.0
4,09 Aug 19:30,09 Aug 2021,19:30:40,0.01
5,10 Aug 00:49,10 Aug 2021,00:49:39,0.0
6,10 Aug 20:27,10 Aug 2021,20:27:03,0.01
7,11 Aug 10:20,11 Aug 2021,10:20:04,0.0
8,11 Aug 12:13,11 Aug 2021,12:13:36,0.01
9,12 Aug 12:14,12 Aug 2021,12:14:31,0.03
10,16 Aug 10:05,16 Aug 2021,10:05:25,0.0
11,16 Aug 15:15,16 Aug 2021,15:15:28,0.01
12,16 Aug 17:19,16 Aug 2021,17:19:32,0.0
13,16 Aug 18:19,16 Aug 2021,18:19:53,0.01
14,16 Aug 19:20,16 Aug 2021,19:20:17,0.02
15,16 Aug 23:18,16 Aug 2021,23:18:09,0.01
16,28 Aug 11:35,28 Aug 2021,11:35:06,0.0
17,28 Aug 12:45,28 Aug 2021,12:45:39,0.01
