Unnamed: 0,DateTime,Date,Time,BTX(µg/ml)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.02
2.0,09 Aug 18:30,09 Aug 2021,18:30:16,0.01
3.0,09 Aug 19:30,09 Aug 2021,19:30:40,0.0
4.0,10 Aug 08:24,10 Aug 2021,08:24:01,0.01
5.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.0
6.0,10 Aug 10:27,10 Aug 2021,10:27:28,0.01
7.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.03
8.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.04
9.0,12 Aug 10:59,12 Aug 2021,10:59:37,0.03
10.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.02
11.0,16 Aug 15:15,16 Aug 2021,15:15:28,0.01
12.0,16 Aug 16:15,16 Aug 2021,16:15:54,0.02
13.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.0
14.0,16 Aug 18:19,16 Aug 2021,18:19:53,0.02
15.0,16 Aug 23:18,16 Aug 2021,23:18:09,0.01
16.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.03
17.0,23 Aug 18:03,23 Aug 2021,18:03:46,0.04
18.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.03
,28 Aug 18:00,28 Aug 2021,18:00:08,0.04
,10 Sep 17:38,10 Sep 2021,17:38:26,0.03
