Unnamed: 0,DateTime,Date,Time,COD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,12.08
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,12.09
2.0,16 Aug 10:05,16 Aug 2021,10:05:25,12.1
3.0,16 Aug 19:20,16 Aug 2021,19:20:17,12.15
4.0,19 Aug 21:09,19 Aug 2021,21:09:25,12.67
5.0,28 Aug 10:21,28 Aug 2021,10:21:18,12.2
6.0,28 Aug 18:00,28 Aug 2021,18:00:08,12.34
,03 Sep 02:17,03 Sep 2021,02:17:33,15.22
,03 09 10:54,03 Sep 2021,10:54:46,12.64
,10 Sep 17:38,10 Sep 2021,17:38:26,12.37
,10 Sep 23:24,10 Sep 2021,23:24:03,12.27
