,DateTime,Date,Time,Chloride(mg/l)
0,04 Aug 14:26,04 Aug 2021,14:26:24,28.9
1,09 Aug 11:41,09 Aug 2021,11:41:48,22.0
2,09 Aug 15:16,09 Aug 2021,15:16:19,0.0
3,09 Aug 16:29,09 Aug 2021,16:29:24,19.3
4,09 Aug 17:29,09 Aug 2021,17:29:51,19.1
5,09 Aug 18:30,09 Aug 2021,18:30:16,18.9
6,10 Aug 19:26,10 Aug 2021,19:26:33,23.9
7,11 Aug 16:56,11 Aug 2021,16:56:21,22.4
8,11 Aug 18:00,11 Aug 2021,18:00:02,23.5
9,12 Aug 10:59,12 Aug 2021,10:59:37,25.9
10,16 Aug 10:05,16 Aug 2021,10:05:25,0.0
11,16 Aug 15:15,16 Aug 2021,15:15:28,22.1
12,16 Aug 16:15,16 Aug 2021,16:15:54,22.0
13,16 Aug 17:19,16 Aug 2021,17:19:32,23.2
14,16 Aug 18:19,16 Aug 2021,18:19:53,20.6
15,16 Aug 19:20,16 Aug 2021,19:20:17,19.4
16,16 Aug 23:18,16 Aug 2021,23:18:09,19.6
17,19 Aug 21:09,19 Aug 2021,21:09:25,0.0
