Unnamed: 0,DateTime,Date,Time,Floride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.24
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.0
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,0.44
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.1
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,0.03
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,0.0
6.0,19 Aug 21:09,19 Aug 2021,21:09:25,1.93
7.0,19 Aug 22:09,19 Aug 2021,22:09:52,2.39
8.0,23 Aug 15:16,23 Aug 2021,15:16:38,10.33
9.0,23 Aug 18:03,23 Aug 2021,18:03:46,10.28
10.0,28 Aug 10:21,28 Aug 2021,10:21:18,7.38
11.0,28 Aug 11:35,28 Aug 2021,11:35:06,7.45
12.0,28 Aug 12:45,28 Aug 2021,12:45:39,7.81
13.0,28 Aug 15:26,28 Aug 2021,15:26:51,7.6
14.0,28 Aug 18:00,28 Aug 2021,18:00:08,7.56
15.0,28 Aug 19:18,28 Aug 2021,19:18:38,7.09
,03 Sep 02:17,03 Sep 2021,02:17:33,0.12
,10 Sep 17:38,10 Sep 2021,17:38:26,0.13
