,Locations,Location,Latitude,Longitude
0,Location1,"UK08-Jagjeetpur STP drain, Haridwar",29.918671,78.119743
1,Location2,"UP02-Madhya Ganga Barrage, Bijnore",29.38629,78.13057
2,Location3,"UP03-Sukratal Ghat, Bijnore",29.37575,78.13967
3,Location4,"UP08-Narora Barrage, Narora",28.1897,78.395878
4,Location5,"UP09-Kachla Ghat Bridge, Badaun",27.9278,78.866289
5,Location6,"UP10-Shahbad Bridge, Moradabad (D/s)",28.8333,78.75261
6,Location7,"UP13-Khudaganj Bridge, Farrukhabad",28.145399,79.709099
7,Location8,"UP14-Ghatiyaghat Bridge, Farrukhabad",27.39101,79.60614
8,Location9,"UP16-Manimau Bridge (Mehendi Ghat), Kannauj",27.0564,79.918404
9,Location10,"UP17-Allahganj Bridge, Kannauj-Farrukhabad",27.543501,79.688301
10,Location11,"UP18-Pariyal Bridge, Bithoor, Kanpur",26.61617,80.26946
11,Location12,"UP19-Ganga (Luv Kush) Barrage, Kanpur",26.42858,80.39828
12,Location13,"UP26-Shuklaganj Bridge, Kanpur",26.43077,80.40478
13,Location14,"UP29-Bhimgave Bridge, Hamirpur Road, Kanpur",26.43407,80.322
14,Location15,"UP32-Bridge at Ansi, Fatehpur",25.91619,80.80532
15,Location16,"UP40-Pontoon Bridge Sirsa, Allahabad",25.26177,82.09143
16,Location17,"UP46-Mawaiyanala, Allahabad",31.52209,75.96379
17,Location18,"UP54-Bathing Ghat 1, Varanasi",25.30608,83.00906
18,Location19,"UP55-Bridge at River Gomti, Varanasi",25.34264,83.00934
19,Location20,UP56-Ghazipur (D/s),28.66026,77.31896
20,Location21,"BH07-Kurzi Nalla, Patna",25.60353,85.20283
21,Location22,"BH09-Rajapul Nalla, Rajapur old pump house",25.633955,85.147169
22,Location23,"BH10-Mandiri Nalla, Patna 3a",25.60472,85.20064
23,Location24,"BH11-Anta Ghat Nalla, Patna 3a",25.60472,85.20064
24,Location25,"WB05-1_Bridge on NH-34, Farrakha (U/s)",28.64877,77.44355
25,Location26,"WB06-2_Bridge on NH-35, Farrakha (U/s)",22.71894,88.48522
26,Location27,"WB10-Bridge at Behrampore, Behrampore (U/s)",24.08578,88.24438
27,Location28,"WB11-Bridge at  Behrampore, Behrampore (D/s)",24.08578,88.24438
28,Location29,"WB21-Ghat at Srirampore, Srirampore (D/s)",22.61752,88.41065
29,Location30,"WB22-Nalla opposite Ghat (D/s), Srirampur",22.946199,88.0168
30,Location31,"WB23-Intake Pumping Station at Belgharia, Belgharia",22.66066,88.39718
31,Location32,"WB24-Ballykhal Nalla, Ballykhal bridge",22.572645,88.363892
32,Location33,"WB26-Chitpur Nalla, Circular Canal, Chitpur",22.54705,88.32492
33,Location34,"WB27-Millenium Park, Howrah Bridge, Howrah",22.59302,88.24489
