Unnamed: 0,DateTime,Date,Time,Potassium(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,5.3
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,2.4
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,2.6
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,2.3
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,2.2
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,2.1
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,4.7
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,4.6
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,4.4
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,3.3
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,1.9
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,1.8
12.0,11 Aug 08:47,11 Aug 2021,08:47:06,1.4
13.0,11 Aug 16:56,11 Aug 2021,16:56:21,1.9
14.0,11 Aug 18:00,11 Aug 2021,18:00:02,1.3
15.0,12 Aug 10:59,12 Aug 2021,10:59:37,5.2
16.0,12 Aug 12:14,12 Aug 2021,12:14:31,5.4
17.0,16 Aug 10:05,16 Aug 2021,10:05:25,5.1
18.0,16 Aug 11:06,16 Aug 2021,11:06:03,5.2
19.0,16 Aug 16:15,16 Aug 2021,16:15:54,5.3
20.0,16 Aug 17:19,16 Aug 2021,17:19:32,5.4
21.0,16 Aug 19:20,16 Aug 2021,19:20:17,5.5
22.0,16 Aug 23:18,16 Aug 2021,23:18:09,5.6
23.0,19 Aug 21:09,19 Aug 2021,21:09:25,8.0
24.0,19 Aug 22:09,19 Aug 2021,22:09:52,7.9
25.0,23 Aug 15:16,23 Aug 2021,15:16:38,3.5
26.0,23 Aug 18:03,23 Aug 2021,18:03:46,3.7
27.0,28 Aug 10:21,28 Aug 2021,10:21:18,3.2
28.0,28 Aug 12:45,28 Aug 2021,12:45:39,3.3
29.0,28 Aug 15:26,28 Aug 2021,15:26:51,3.5
30.0,28 Aug 18:00,28 Aug 2021,18:00:08,3.6
,03 Sep 02:17,03 Sep 2021,02:17:33,3.3
,10 Sep 17:38,10 Sep 2021,17:38:26,0.0
