,DateTime,Date,Time,Potassium(mg/l)
0,04 Aug 14:26,04 Aug 2021,14:26:24,3.8
1,09 Aug 11:41,09 Aug 2021,11:41:48,3.9
2,09 Aug 12:57,09 Aug 2021,12:57:04,1.6
3,09 Aug 13:57,09 Aug 2021,13:57:19,4.0
4,09 Aug 16:29,09 Aug 2021,16:29:24,3.9
5,10 Aug 00:49,10 Aug 2021,00:49:39,3.8
6,10 Aug 08:24,10 Aug 2021,08:24:01,3.6
7,10 Aug 21:30,10 Aug 2021,21:30:23,3.5
8,11 Aug 10:20,11 Aug 2021,10:20:04,3.6
9,11 Aug 16:56,11 Aug 2021,16:56:21,3.7
10,16 Aug 23:18,16 Aug 2021,23:18:09,3.8
11,19 Aug 21:09,19 Aug 2021,21:09:25,3.3
12,19 Aug 22:09,19 Aug 2021,22:09:52,3.4
13,23 Aug 15:16,23 Aug 2021,15:16:38,3.5
14,23 Aug 18:03,23 Aug 2021,18:03:46,3.6
15,28 Aug 10:21,28 Aug 2021,10:21:18,3.5
16,28 Aug 15:26,28 Aug 2021,15:26:51,3.6
17,03 Sep 02:17,03 Sep 2021,02:17:33,3.5
