Unnamed: 0,DateTime,Date,Time,TSS(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,39.86
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,42.71
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,42.59
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,42.22
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,42.17
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,42.12
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,42.46
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,42.21
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,42.15
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,42.76
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,42.77
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,42.85
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,46.19
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,46.29
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,46.16
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,45.49
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,44.86
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,44.53
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,43.99
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,43.15
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,42.39
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,42.38
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,47.59
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,45.95
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,47.51
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,52.27
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,47.79
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,47.21
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,47.16
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,45.94
30.0,17 Aug 00:18,17 Aug 2021,00:18:33,44.84
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,7.5
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,7.73
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,7.55
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,7.24
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,12.52
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,12.62
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,12.83
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,13.66
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,14.27
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,14.67
,03 Sep 02:17,03 Sep 2021,02:17:33,85.12
,03 09 10:54,03 Sep 2021,10:54:46,76.02
,10 Sep 17:38,10 Sep 2021,17:38:26,0.0
