Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,30.3
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,26.9
2.0,10 Aug 19:26,10 Aug 2021,19:26:33,29.4
3.0,16 Aug 10:05,16 Aug 2021,10:05:25,30.1
4.0,16 Aug 19:20,16 Aug 2021,19:20:17,30.9
5.0,19 Aug 21:09,19 Aug 2021,21:09:25,31.3
6.0,28 Aug 10:21,28 Aug 2021,10:21:18,29.3
7.0,28 Aug 18:00,28 Aug 2021,18:00:08,28.1
,03 Sep 02:17,03 Sep 2021,02:17:33,26.7
,03 09 10:54,03 Sep 2021,10:54:46,25.4
,10 Sep 17:38,10 Sep 2021,17:38:26,31.3
,10 Sep 23:24,10 Sep 2021,23:24:03,29.7
