Unnamed: 0,DateTime,Date,Time,pH
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,8.54
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,8.5
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,8.52
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,8.19
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,7.86
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,7.61
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,8.19
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,8.29
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,8.5
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,8.69
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,9.04
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,8.98
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,8.88
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,7.96
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,8.19
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,8.31
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,8.29
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,8.3
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,7.61
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,7.84
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,7.82
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,8.65
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,8.57
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,8.6
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,8.59
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,8.76
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,8.84
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,8.68
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,8.38
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,8.78
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,8.45
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,8.44
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,8.42
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,8.96
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,8.77
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,8.37
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,8.59
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,8.81
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,8.46
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,8.4
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,8.35
,03 Sep 02:17,03 Sep 2021,02:17:33,8.31
,10 Sep 17:38,10 Sep 2021,17:38:26,0.0
