,Place,City,Type,Last Updated,BOD(mg/l),DO(mg/l),Conductivity(µS/cm),pH,Temperature(°C),Ammonia(mg/l),Chloride(mg/l),COD(mg/l),TSS(mg/l),"Color(Pt.Scale,Hz units)",Floride(mg/l),Nitrate(mg/l),Potassium(mg/l),BTX(µg/ml),Water Level(cm.),Turbidity(NTU),TOC(mg/l),TOC(mg/l ),Color(µS/cm),Longitude,Latitude
0,Jagjeetpur STP drain, Haridwar,Drain,30-06-2021 06:04 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4,,,,,,
1,Madhya Ganga Barrage, Bijnore,River Ganga,27-07-2021 08:00 AM,0.74,1.93,250.0,7.89,26.9,0.99,,12.18,7.35,,0.4,0.87,,,250.0,5.24,4.11,,,,
2,Sukratal Ghat, Bijnore,River Banganga (Tributary),29-07-2021 09:01 AM,5.38,2.7,281.0,7.85,26.66,1.89,,42.47,79.15,,,3.62,,,,,,,,,
3,Narora Barrage, Narora,River Ganga,29-07-2021 10:00 AM,1.86,7.72,171.0,7.67,23.8,1.05,,22.51,727.39,,,0.41,,,178.04,,,9.38,,,
4,Kachla Ghat Bridge, Badaun,River Ganga,29-07-2021 10:01 AM,4.17,7.33,194.54,7.86,25.2,1.25,,18.35,580.16,,,0.12,,0.01,449.86,713.41,12.81,,,,
5,Shahbad Bridge, Moradabad (D/s),River Ramganga (Tributary),29-07-2021 09:04 AM,NA,6.86,NA,8.08,30.0,1.24,19.7,NA,NA,NA,0.07,NA,5.7,,98.08,NA,NA,,,76.84074742084039,30.14855065
6,Khudaganj Bridge, Farrukhabad,River Kali (Tributary),28-07-2021 04:02 PM,5.24,5.06,225.0,7.49,30.3,2.6,15.6,26.99,190.38,,0.2,1.41,8.8,0.04,350.0,280.81,6.25,,,79.7133206,28.1465139
7,Ghatiyaghat Bridge, Farrukhabad,River Ganga,29-07-2021 09:04 AM,2.44,NA,197.0,7.89,28.2,1.04,13.6,14.57,262.28,,0.1,0.84,3.4,0.01,893.0,389.59,4.49,,,,
8,Manimau Bridge (Mehendi Ghat), Kannauj,River Ganga,29-07-2021 10:01 AM,2.92,6.56,212.0,8.21,29.4,0.15,10.4,19.21,89.57,,0.05,2.3,3.8,0.02,417.3,133.44,4.83,,,,
9,Allahganj Bridge, Kannauj,River Ramganga (Tributary),29-07-2021 08:04 AM,3.16,3.68,246.0,7.98,27.9,0.87,15.4,22.65,5.18,,0.01,3.18,5.0,0.09,278.88,206.87,NA,,,79.6866067,27.545648
