Unnamed: 0,DateTime,Date,Time,Ammonia(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,1.17
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,1.22
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,1.32
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,1.36
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,1.45
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,1.15
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,1.08
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,1.05
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,1.03
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,0.99
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,1.05
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,0.0
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,1.57
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,1.44
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,1.32
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,1.1
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,1.2
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,1.33
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,1.26
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,1.29
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,0.81
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.18
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,1.08
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,1.25
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,1.49
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,1.5
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,1.37
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,1.27
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,1.2
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,0.95
30.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.89
31.0,19 Aug 22:09,19 Aug 2021,22:09:52,0.9
32.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.88
33.0,23 Aug 18:03,23 Aug 2021,18:03:46,0.61
34.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.88
35.0,28 Aug 11:35,28 Aug 2021,11:35:06,0.96
36.0,28 Aug 12:45,28 Aug 2021,12:45:39,1.07
37.0,28 Aug 15:26,28 Aug 2021,15:26:51,1.3
38.0,28 Aug 18:00,28 Aug 2021,18:00:08,1.37
39.0,28 Aug 19:18,28 Aug 2021,19:18:38,1.33
,03 Sep 02:17,03 Sep 2021,02:17:33,0.99
,03 09 10:54,03 Sep 2021,10:54:46,1.12
,10 Sep 17:38,10 Sep 2021,17:38:26,0.63
,10 Sep 23:30,10 Sep 2021,23:30:16,0.56
,12 Sep 17:30,12 Sep 2021,17:30:03,0.73
,12 Sep 21:12,12 Sep 2021,21:12:54,0.64
,12 Sep 22:53,12 Sep 2021,22:53:57,0.62
