Unnamed: 0,DateTime,Date,Time,BOD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,2.84
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,2.72
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,2.73
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,2.71
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,2.72
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,2.73
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,2.75
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,2.76
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,2.75
9.0,10 Aug 20:27,10 Aug 2021,20:27:03,2.76
10.0,11 Aug 08:47,11 Aug 2021,08:47:06,2.75
11.0,11 Aug 10:20,11 Aug 2021,10:20:04,2.76
12.0,11 Aug 12:13,11 Aug 2021,12:13:36,2.74
13.0,11 Aug 16:56,11 Aug 2021,16:56:21,2.73
14.0,11 Aug 18:00,11 Aug 2021,18:00:02,2.74
15.0,12 Aug 10:59,12 Aug 2021,10:59:37,2.9
16.0,12 Aug 12:14,12 Aug 2021,12:14:31,2.89
17.0,16 Aug 10:05,16 Aug 2021,10:05:25,2.79
18.0,16 Aug 15:15,16 Aug 2021,15:15:28,2.8
19.0,16 Aug 16:15,16 Aug 2021,16:15:54,2.79
20.0,16 Aug 17:19,16 Aug 2021,17:19:32,2.8
21.0,16 Aug 18:19,16 Aug 2021,18:19:53,0.0
22.0,16 Aug 19:20,16 Aug 2021,19:20:17,2.8
23.0,16 Aug 23:18,16 Aug 2021,23:18:09,2.79
24.0,19 Aug 21:09,19 Aug 2021,21:09:25,2.77
25.0,23 Aug 15:16,23 Aug 2021,15:16:38,2.81
26.0,23 Aug 18:03,23 Aug 2021,18:03:46,2.8
27.0,28 Aug 11:35,28 Aug 2021,11:35:06,2.79
,03 Sep 02:17,03 Sep 2021,02:17:33,2.76
,10 Sep 17:38,10 Sep 2021,17:38:26,2.79
,12 Sep 17:30,12 Sep 2021,17:30:03,2.8
,12 Sep 21:12,12 Sep 2021,21:12:54,2.81
,12 Sep 22:53,12 Sep 2021,22:53:57,2.74
