Unnamed: 0,DateTime,Date,Time,Chloride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,12.9
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.0
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,14.17
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,13.83
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,13.76
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,12.39
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,12.12
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,10.39
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,10.86
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,9.7
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,9.02
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,8.92
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,6.58
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,5.82
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,6.86
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,9.19
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,9.55
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,9.24
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,9.25
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,8.87
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,7.18
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,6.44
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,7.44
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,7.99
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,4.26
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,4.35
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,3.43
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,4.43
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,4.15
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,4.48
30.0,19 Aug 21:09,19 Aug 2021,21:09:25,11.24
31.0,19 Aug 22:09,19 Aug 2021,22:09:52,11.7
32.0,23 Aug 15:16,23 Aug 2021,15:16:38,19.64
33.0,23 Aug 18:03,23 Aug 2021,18:03:46,19.59
34.0,28 Aug 10:21,28 Aug 2021,10:21:18,16.69
35.0,28 Aug 11:35,28 Aug 2021,11:35:06,16.76
36.0,28 Aug 12:45,28 Aug 2021,12:45:39,17.12
37.0,28 Aug 15:26,28 Aug 2021,15:26:51,16.91
38.0,28 Aug 18:00,28 Aug 2021,18:00:08,16.87
39.0,28 Aug 19:18,28 Aug 2021,19:18:38,16.4
,03 Sep 02:17,03 Sep 2021,02:17:33,12.78
,03 09 10:54,03 Sep 2021,10:54:46,17.34
,10 Sep 17:38,10 Sep 2021,17:38:26,36.11
,10 Sep 23:30,10 Sep 2021,23:30:16,39.24
,12 Sep 17:30,12 Sep 2021,17:30:03,37.61
,12 Sep 18:42,12 Sep 2021,18:42:45,37.19
,12 Sep 21:12,12 Sep 2021,21:12:54,34.77
,12 Sep 22:53,12 Sep 2021,22:53:57,35.22
