Unnamed: 0,DateTime,Date,Time,"Color(Pt.Scale,Hz units)"
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,19.91
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,28.64
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,0.0
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,19.44
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,19.48
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,19.74
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,19.48
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,26.07
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,24.11
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,22.63
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,20.44
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,20.49
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,20.02
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,20.07
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,20.19
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,17.53
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,17.55
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,17.56
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,20.81
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,21.0
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,20.12
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,19.79
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,19.37
23.0,16 Aug 15:15,16 Aug 2021,15:15:28,20.38
24.0,16 Aug 16:15,16 Aug 2021,16:15:54,19.98
25.0,16 Aug 17:19,16 Aug 2021,17:19:32,19.64
26.0,16 Aug 19:20,16 Aug 2021,19:20:17,19.49
27.0,16 Aug 23:18,16 Aug 2021,23:18:09,19.45
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,23.2
29.0,19 Aug 22:09,19 Aug 2021,22:09:52,22.92
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.0
31.0,28 Aug 10:21,28 Aug 2021,10:21:18,24.68
32.0,28 Aug 11:35,28 Aug 2021,11:35:06,24.34
33.0,28 Aug 15:26,28 Aug 2021,15:26:51,26.87
34.0,28 Aug 18:00,28 Aug 2021,18:00:08,31.9
35.0,28 Aug 19:18,28 Aug 2021,19:18:38,18.57
,03 Sep 02:17,03 Sep 2021,02:17:33,19.34
,03 09 10:54,03 Sep 2021,10:54:46,19.51
,10 Sep 17:38,10 Sep 2021,17:38:26,21.07
,10 Sep 23:30,10 Sep 2021,23:30:16,24.82
,12 Sep 17:30,12 Sep 2021,17:30:03,23.38
,12 Sep 18:42,12 Sep 2021,18:42:45,23.1
,12 Sep 21:12,12 Sep 2021,21:12:54,26.7
,12 Sep 22:53,12 Sep 2021,22:53:57,25.94
