Unnamed: 0,DateTime,Date,Time,Color(µS/cm)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,27.5
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,29.93
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,29.85
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,29.82
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,29.74
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,29.64
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,29.5
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,29.36
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,29.26
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,28.79
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,28.75
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,28.71
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,28.48
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,28.44
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,28.45
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,28.13
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,27.81
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,27.61
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,27.71
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,27.4
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,27.18
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,27.15
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,27.46
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,27.72
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,27.74
25.0,16 Aug 17:19,16 Aug 2021,17:19:32,27.7
26.0,16 Aug 18:19,16 Aug 2021,18:19:53,27.69
27.0,16 Aug 23:18,16 Aug 2021,23:18:09,27.96
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,29.55
29.0,19 Aug 22:09,19 Aug 2021,22:09:52,29.33
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,29.3
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,29.5
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,28.98
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,29.11
34.0,28 Aug 12:45,28 Aug 2021,12:45:39,29.16
35.0,28 Aug 15:26,28 Aug 2021,15:26:51,29.26
36.0,28 Aug 19:18,28 Aug 2021,19:18:38,29.15
,03 Sep 02:17,03 Sep 2021,02:17:33,28.47
,03 09 10:54,03 Sep 2021,10:54:46,28.93
,10 Sep 17:38,10 Sep 2021,17:38:26,29.06
,10 Sep 23:30,10 Sep 2021,23:30:16,29.18
,12 Sep 17:30,12 Sep 2021,17:30:03,29.78
,12 Sep 18:42,12 Sep 2021,18:42:45,29.07
,12 Sep 21:12,12 Sep 2021,21:12:54,29.72
,12 Sep 22:53,12 Sep 2021,22:53:57,29.61
