Unnamed: 0,DateTime,Date,Time,Conductivity(µS/cm)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,291.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,159.0
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,158.0
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,159.0
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,160.0
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,159.0
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,160.0
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,161.0
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,168.0
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,169.0
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,176.0
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,177.0
12.0,10 Aug 21:30,10 Aug 2021,21:30:23,178.0
13.0,11 Aug 08:47,11 Aug 2021,08:47:06,188.0
14.0,12 Aug 10:59,12 Aug 2021,10:59:37,187.0
15.0,16 Aug 10:05,16 Aug 2021,10:05:25,231.0
16.0,16 Aug 11:06,16 Aug 2021,11:06:03,233.0
17.0,16 Aug 15:15,16 Aug 2021,15:15:28,234.0
18.0,16 Aug 16:15,16 Aug 2021,16:15:54,239.0
19.0,16 Aug 17:19,16 Aug 2021,17:19:32,236.0
20.0,16 Aug 18:19,16 Aug 2021,18:19:53,235.0
21.0,16 Aug 19:20,16 Aug 2021,19:20:17,236.0
22.0,16 Aug 23:18,16 Aug 2021,23:18:09,239.0
23.0,17 Aug 00:18,17 Aug 2021,00:18:33,238.0
24.0,19 Aug 21:09,19 Aug 2021,21:09:25,262.0
25.0,19 Aug 22:09,19 Aug 2021,22:09:52,261.0
26.0,23 Aug 15:16,23 Aug 2021,15:16:38,263.0
27.0,23 Aug 18:03,23 Aug 2021,18:03:46,264.0
28.0,28 Aug 10:21,28 Aug 2021,10:21:18,312.0
29.0,28 Aug 11:35,28 Aug 2021,11:35:06,314.0
30.0,28 Aug 12:45,28 Aug 2021,12:45:39,312.0
31.0,28 Aug 15:26,28 Aug 2021,15:26:51,318.0
32.0,28 Aug 18:00,28 Aug 2021,18:00:08,315.0
33.0,28 Aug 19:18,28 Aug 2021,19:18:38,316.0
,03 Sep 02:17,03 Sep 2021,02:17:33,286.0
,03 09 10:54,03 Sep 2021,10:54:46,290.0
,10 Sep 17:38,10 Sep 2021,17:38:26,324.0
,10 Sep 23:30,10 Sep 2021,23:30:16,328.0
,12 Sep 17:30,12 Sep 2021,17:30:03,329.0
,12 Sep 18:42,12 Sep 2021,18:42:45,330.0
,12 Sep 21:12,12 Sep 2021,21:12:54,329.0
,12 Sep 22:53,12 Sep 2021,22:53:57,328.0
