Unnamed: 0,DateTime,Date,Time,DO(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,1.73
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,2.99
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,3.52
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,2.77
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,3.65
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,3.54
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,3.57
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,3.23
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,3.28
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,2.84
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,3.07
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,2.79
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,2.44
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,6.11
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,6.02
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,6.15
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,6.27
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,6.2
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,6.39
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,7.42
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,7.48
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,5.95
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,5.44
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,6.75
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,5.64
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,2.32
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,4.65
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,4.78
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,4.38
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,4.47
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,6.6
31.0,17 Aug 00:18,17 Aug 2021,00:18:33,5.76
32.0,19 Aug 21:09,19 Aug 2021,21:09:25,8.61
33.0,19 Aug 22:09,19 Aug 2021,22:09:52,8.43
34.0,23 Aug 15:16,23 Aug 2021,15:16:38,7.01
35.0,23 Aug 18:03,23 Aug 2021,18:03:46,9.66
36.0,28 Aug 10:21,28 Aug 2021,10:21:18,4.81
37.0,28 Aug 11:35,28 Aug 2021,11:35:06,4.23
38.0,28 Aug 12:45,28 Aug 2021,12:45:39,4.42
39.0,28 Aug 15:26,28 Aug 2021,15:26:51,4.45
40.0,28 Aug 18:00,28 Aug 2021,18:00:08,3.81
41.0,28 Aug 19:18,28 Aug 2021,19:18:38,7.24
,03 Sep 02:17,03 Sep 2021,02:17:33,4.54
,03 09 10:54,03 Sep 2021,10:54:46,16.46
,10 Sep 17:38,10 Sep 2021,17:38:26,6.84
,10 Sep 23:30,10 Sep 2021,23:30:16,4.81
,12 Sep 18:42,12 Sep 2021,18:42:45,18.04
,12 Sep 22:00,12 Sep 2021,22:00:04,17.72
