Unnamed: 0,DateTime,Date,Time,Floride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.81
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,1.24
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,1.27
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,1.14
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,1.42
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,1.3
6.0,10 Aug 08:24,10 Aug 2021,08:24:01,1.27
7.0,10 Aug 09:26,10 Aug 2021,09:26:56,1.29
8.0,10 Aug 10:27,10 Aug 2021,10:27:28,1.16
9.0,10 Aug 19:26,10 Aug 2021,19:26:33,1.41
10.0,10 Aug 20:27,10 Aug 2021,20:27:03,1.29
11.0,10 Aug 21:30,10 Aug 2021,21:30:23,1.2
12.0,11 Aug 08:47,11 Aug 2021,08:47:06,1.31
13.0,11 Aug 10:20,11 Aug 2021,10:20:04,1.25
14.0,11 Aug 12:13,11 Aug 2021,12:13:36,1.43
15.0,11 Aug 16:56,11 Aug 2021,16:56:21,1.53
16.0,11 Aug 18:00,11 Aug 2021,18:00:02,1.56
17.0,12 Aug 10:59,12 Aug 2021,10:59:37,1.39
18.0,12 Aug 12:14,12 Aug 2021,12:14:31,1.23
19.0,16 Aug 10:05,16 Aug 2021,10:05:25,1.48
20.0,16 Aug 11:06,16 Aug 2021,11:06:03,1.41
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,1.23
22.0,16 Aug 16:15,16 Aug 2021,16:15:54,1.32
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,1.26
24.0,16 Aug 18:19,16 Aug 2021,18:19:53,1.24
25.0,16 Aug 19:20,16 Aug 2021,19:20:17,1.21
26.0,16 Aug 23:18,16 Aug 2021,23:18:09,1.39
27.0,17 Aug 00:18,17 Aug 2021,00:18:33,1.35
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.46
29.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.59
30.0,23 Aug 18:03,23 Aug 2021,18:03:46,0.65
31.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.6
32.0,28 Aug 11:35,28 Aug 2021,11:35:06,0.57
33.0,28 Aug 12:45,28 Aug 2021,12:45:39,0.56
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,0.53
35.0,28 Aug 18:00,28 Aug 2021,18:00:08,0.49
36.0,28 Aug 19:18,28 Aug 2021,19:18:38,0.57
,03 Sep 02:17,03 Sep 2021,02:17:33,0.5
,03 09 10:54,03 Sep 2021,10:54:46,0.51
,10 Sep 17:38,10 Sep 2021,17:38:26,0.57
,12 Sep 18:42,12 Sep 2021,18:42:45,0.6
