Unnamed: 0,DateTime,Date,Time,Nitrate(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,1.26
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,1.53
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.0
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,1.59
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,1.31
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,1.39
6.0,10 Aug 19:26,10 Aug 2021,19:26:33,2.04
7.0,11 Aug 16:56,11 Aug 2021,16:56:21,1.88
8.0,11 Aug 18:00,11 Aug 2021,18:00:02,1.64
9.0,12 Aug 10:59,12 Aug 2021,10:59:37,1.61
10.0,16 Aug 10:05,16 Aug 2021,10:05:25,1.86
11.0,16 Aug 15:15,16 Aug 2021,15:15:28,2.07
12.0,16 Aug 16:15,16 Aug 2021,16:15:54,1.82
13.0,16 Aug 17:19,16 Aug 2021,17:19:32,2.35
14.0,16 Aug 18:19,16 Aug 2021,18:19:53,1.57
15.0,16 Aug 19:20,16 Aug 2021,19:20:17,1.82
16.0,16 Aug 23:18,16 Aug 2021,23:18:09,2.03
17.0,19 Aug 21:09,19 Aug 2021,21:09:25,2.34
18.0,23 Aug 15:16,23 Aug 2021,15:16:38,2.75
19.0,23 Aug 18:03,23 Aug 2021,18:03:46,2.92
20.0,28 Aug 10:21,28 Aug 2021,10:21:18,1.23
21.0,28 Aug 11:35,28 Aug 2021,11:35:06,1.31
22.0,28 Aug 12:45,28 Aug 2021,12:45:39,1.39
23.0,28 Aug 15:26,28 Aug 2021,15:26:51,1.52
24.0,28 Aug 18:00,28 Aug 2021,18:00:08,1.62
25.0,28 Aug 19:18,28 Aug 2021,19:18:38,1.47
,03 Sep 02:17,03 Sep 2021,02:17:33,1.51
,03 09 10:54,03 Sep 2021,10:54:46,1.38
,10 Sep 17:38,10 Sep 2021,17:38:26,1.34
,10 Sep 23:30,10 Sep 2021,23:30:16,0.86
,12 Sep 16:50,12 Sep 2021,16:50:46,1.25
,12 Sep 17:30,12 Sep 2021,17:30:03,0.67
,12 Sep 18:30,12 Sep 2021,18:30:04,1.48
,12 Sep 21:12,12 Sep 2021,21:12:54,0.83
,12 Sep 22:53,12 Sep 2021,22:53:57,1.27
