Unnamed: 0,DateTime,Date,Time,Potassium(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,6.9
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,8.2
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,8.4
3.0,09 Aug 19:30,09 Aug 2021,19:30:40,8.5
4.0,10 Aug 00:49,10 Aug 2021,00:49:39,8.6
5.0,10 Aug 08:24,10 Aug 2021,08:24:01,8.8
6.0,10 Aug 19:26,10 Aug 2021,19:26:33,2.6
7.0,11 Aug 16:56,11 Aug 2021,16:56:21,1.3
8.0,11 Aug 18:00,11 Aug 2021,18:00:02,1.2
9.0,12 Aug 12:14,12 Aug 2021,12:14:31,1.3
10.0,16 Aug 10:05,16 Aug 2021,10:05:25,1.2
11.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.0
12.0,16 Aug 18:19,16 Aug 2021,18:19:53,1.2
13.0,19 Aug 21:09,19 Aug 2021,21:09:25,3.9
14.0,23 Aug 15:16,23 Aug 2021,15:16:38,3.6
15.0,23 Aug 18:03,23 Aug 2021,18:03:46,1.2
16.0,28 Aug 10:21,28 Aug 2021,10:21:18,5.4
17.0,28 Aug 12:45,28 Aug 2021,12:45:39,5.2
18.0,28 Aug 15:26,28 Aug 2021,15:26:51,5.5
19.0,28 Aug 18:00,28 Aug 2021,18:00:08,5.7
20.0,28 Aug 19:18,28 Aug 2021,19:18:38,5.6
,03 Sep 02:17,03 Sep 2021,02:17:33,4.2
,03 09 10:54,03 Sep 2021,10:54:46,4.4
,10 Sep 17:38,10 Sep 2021,17:38:26,4.8
,10 Sep 23:30,10 Sep 2021,23:30:16,4.1
,12 Sep 17:30,12 Sep 2021,17:30:03,4.5
,12 Sep 18:42,12 Sep 2021,18:42:45,4.3
,12 Sep 21:12,12 Sep 2021,21:12:54,4.4
