Unnamed: 0,DateTime,Date,Time,TOC(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,12.11
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,13.18
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,12.48
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,12.59
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,13.11
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,12.69
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,12.77
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,13.0
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,13.54
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,16.18
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,11.66
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,11.79
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,14.19
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,14.88
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,15.44
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,20.38
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,23.68
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,24.58
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.0
19.0,12 Aug 10:59,12 Aug 2021,10:59:37,23.13
20.0,12 Aug 12:14,12 Aug 2021,12:14:31,23.21
21.0,16 Aug 10:05,16 Aug 2021,10:05:25,11.58
22.0,16 Aug 11:06,16 Aug 2021,11:06:03,11.57
23.0,16 Aug 15:15,16 Aug 2021,15:15:28,11.56
24.0,16 Aug 16:15,16 Aug 2021,16:15:54,11.58
25.0,16 Aug 18:19,16 Aug 2021,18:19:53,11.61
26.0,16 Aug 19:20,16 Aug 2021,19:20:17,11.58
27.0,19 Aug 21:09,19 Aug 2021,21:09:25,12.88
28.0,19 Aug 22:09,19 Aug 2021,22:09:52,12.89
29.0,23 Aug 15:16,23 Aug 2021,15:16:38,17.0
30.0,23 Aug 18:03,23 Aug 2021,18:03:46,16.96
31.0,28 Aug 10:21,28 Aug 2021,10:21:18,13.23
32.0,28 Aug 11:35,28 Aug 2021,11:35:06,12.76
33.0,28 Aug 12:45,28 Aug 2021,12:45:39,12.77
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,12.81
35.0,28 Aug 19:18,28 Aug 2021,19:18:38,12.83
,03 Sep 02:17,03 Sep 2021,02:17:33,12.46
,03 09 10:54,03 Sep 2021,10:54:46,10.91
,10 Sep 17:38,10 Sep 2021,17:38:26,11.2
,10 Sep 23:30,10 Sep 2021,23:30:16,11.51
,12 Sep 17:30,12 Sep 2021,17:30:03,11.47
,12 Sep 18:42,12 Sep 2021,18:42:45,11.75
,12 Sep 21:12,12 Sep 2021,21:12:54,11.96
