Unnamed: 0,DateTime,Date,Time,TSS(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,201.89
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,200.68
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,212.83
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,100.54
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,185.74
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,145.9
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,150.51
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,0.0
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,161.43
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,0.0
10.0,10 Aug 10:27,10 Aug 2021,10:27:28,167.64
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,191.54
12.0,10 Aug 20:27,10 Aug 2021,20:27:03,182.77
13.0,10 Aug 21:30,10 Aug 2021,21:30:23,187.89
14.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.0
15.0,11 Aug 16:56,11 Aug 2021,16:56:21,113.8
16.0,11 Aug 18:00,11 Aug 2021,18:00:02,101.68
17.0,12 Aug 10:59,12 Aug 2021,10:59:37,95.87
18.0,12 Aug 12:14,12 Aug 2021,12:14:31,90.78
19.0,16 Aug 10:05,16 Aug 2021,10:05:25,140.79
20.0,16 Aug 11:06,16 Aug 2021,11:06:03,202.26
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,114.36
22.0,16 Aug 16:15,16 Aug 2021,16:15:54,128.56
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,124.85
24.0,16 Aug 18:19,16 Aug 2021,18:19:53,124.78
25.0,16 Aug 19:20,16 Aug 2021,19:20:17,152.03
26.0,16 Aug 23:18,16 Aug 2021,23:18:09,0.0
27.0,19 Aug 21:09,19 Aug 2021,21:09:25,129.23
28.0,19 Aug 22:09,19 Aug 2021,22:09:52,133.75
29.0,23 Aug 15:16,23 Aug 2021,15:16:38,147.62
30.0,23 Aug 18:03,23 Aug 2021,18:03:46,195.42
31.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.0
,03 Sep 02:17,03 Sep 2021,02:17:33,120.07
,03 09 10:54,03 Sep 2021,10:54:46,138.21
,10 Sep 17:38,10 Sep 2021,17:38:26,176.13
,10 Sep 23:30,10 Sep 2021,23:30:16,121.03
,12 Sep 18:42,12 Sep 2021,18:42:45,142.64
,12 Sep 22:00,12 Sep 2021,22:00:04,140.16
,12 Sep 22:53,12 Sep 2021,22:53:57,137.19
