Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,30.4
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,31.2
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,31.4
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,31.8
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,32.6
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,33.1
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,33.5
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,33.7
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,33.9
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,33.1
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,31.3
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,33.0
12.0,10 Aug 21:30,10 Aug 2021,21:30:23,32.9
13.0,11 Aug 08:47,11 Aug 2021,08:47:06,30.8
14.0,11 Aug 10:20,11 Aug 2021,10:20:04,30.5
15.0,11 Aug 16:56,11 Aug 2021,16:56:21,31.1
16.0,11 Aug 18:00,11 Aug 2021,18:00:02,31.3
17.0,12 Aug 10:59,12 Aug 2021,10:59:37,29.8
18.0,12 Aug 12:14,12 Aug 2021,12:14:31,30.2
19.0,16 Aug 10:05,16 Aug 2021,10:05:25,30.7
20.0,16 Aug 11:06,16 Aug 2021,11:06:03,30.9
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,31.4
22.0,16 Aug 19:20,16 Aug 2021,19:20:17,31.3
23.0,16 Aug 23:18,16 Aug 2021,23:18:09,30.9
24.0,19 Aug 21:09,19 Aug 2021,21:09:25,31.9
25.0,19 Aug 22:09,19 Aug 2021,22:09:52,31.7
26.0,23 Aug 15:16,23 Aug 2021,15:16:38,30.9
27.0,23 Aug 18:03,23 Aug 2021,18:03:46,31.9
28.0,28 Aug 10:21,28 Aug 2021,10:21:18,30.1
29.0,28 Aug 11:35,28 Aug 2021,11:35:06,30.2
30.0,28 Aug 12:45,28 Aug 2021,12:45:39,30.4
31.0,28 Aug 15:26,28 Aug 2021,15:26:51,31.8
32.0,28 Aug 18:00,28 Aug 2021,18:00:08,32.6
33.0,28 Aug 19:18,28 Aug 2021,19:18:38,32.7
,03 Sep 02:17,03 Sep 2021,02:17:33,31.8
,03 09 10:54,03 Sep 2021,10:54:46,30.8
,10 Sep 17:38,10 Sep 2021,17:38:26,32.6
,10 Sep 23:30,10 Sep 2021,23:30:16,34.0
,12 Sep 17:30,12 Sep 2021,17:30:03,32.8
,12 Sep 22:00,12 Sep 2021,22:00:04,33.3
