Unnamed: 0,DateTime,Date,Time,Turbidity(NTU)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,262.2
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,297.73
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,289.1
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,283.44
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,284.38
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,283.8
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,286.97
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,279.81
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,292.81
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,305.55
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,296.75
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,301.49
12.0,10 Aug 21:30,10 Aug 2021,21:30:23,303.93
13.0,11 Aug 08:47,11 Aug 2021,08:47:06,437.09
14.0,11 Aug 10:20,11 Aug 2021,10:20:04,358.01
15.0,11 Aug 12:13,11 Aug 2021,12:13:36,326.72
16.0,11 Aug 16:56,11 Aug 2021,16:56:21,318.93
17.0,11 Aug 18:00,11 Aug 2021,18:00:02,321.29
18.0,12 Aug 10:59,12 Aug 2021,10:59:37,342.18
19.0,12 Aug 12:14,12 Aug 2021,12:14:31,317.48
20.0,16 Aug 10:05,16 Aug 2021,10:05:25,260.0
21.0,16 Aug 11:06,16 Aug 2021,11:06:03,265.84
22.0,16 Aug 15:15,16 Aug 2021,15:15:28,252.43
23.0,16 Aug 16:15,16 Aug 2021,16:15:54,253.4
24.0,16 Aug 17:19,16 Aug 2021,17:19:32,250.84
25.0,16 Aug 18:19,16 Aug 2021,18:19:53,250.19
26.0,16 Aug 19:20,16 Aug 2021,19:20:17,252.25
27.0,16 Aug 23:18,16 Aug 2021,23:18:09,248.97
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,242.5
29.0,19 Aug 22:09,19 Aug 2021,22:09:52,242.36
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,188.2
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,187.07
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,184.38
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,181.28
34.0,28 Aug 12:45,28 Aug 2021,12:45:39,176.1
35.0,28 Aug 15:26,28 Aug 2021,15:26:51,181.19
36.0,28 Aug 18:00,28 Aug 2021,18:00:08,184.79
37.0,28 Aug 19:18,28 Aug 2021,19:18:38,180.47
,03 Sep 02:17,03 Sep 2021,02:17:33,526.0
,03 09 10:54,03 Sep 2021,10:54:46,768.96
,10 Sep 17:38,10 Sep 2021,17:38:26,417.52
,10 Sep 23:30,10 Sep 2021,23:30:16,418.21
,12 Sep 18:42,12 Sep 2021,18:42:45,398.78
,12 Sep 22:00,12 Sep 2021,22:00:04,400.85
,12 Sep 22:53,12 Sep 2021,22:53:57,400.88
