Unnamed: 0,DateTime,Date,Time,Water Level(cm.)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,166.2
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,107.8
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,99.8
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,98.2
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,102.1
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,104.7
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,105.9
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,114.7
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,116.6
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,113.9
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,105.5
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,97.5
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,102.1
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,97.1
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,95.2
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,96.0
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,97.1
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,98.6
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,95.6
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,71.4
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,68.7
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,172.2
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,179.0
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,205.4
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,197.4
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,200.4
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,199.7
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,192.4
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,200.8
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,197.0
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,200.1
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,150.0
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,149.3
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,150.4
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,159.2
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,113.8
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,119.9
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,111.5
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,131.3
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,132.5
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,179.4
,03 Sep 02:17,03 Sep 2021,02:17:33,155.4
,10 Sep 17:38,10 Sep 2021,17:38:26,142.4
,12 Sep 17:30,12 Sep 2021,17:30:03,182.5
,12 Sep 18:42,12 Sep 2021,18:42:45,184.8
,12 Sep 21:12,12 Sep 2021,21:12:54,138.2
,12 Sep 22:53,12 Sep 2021,22:53:57,40.4
