Unnamed: 0,DateTime,Date,Time,pH
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,7.89
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,7.6
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,7.56
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,7.57
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,7.58
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,7.56
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,7.57
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,7.62
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,7.57
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,7.54
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,7.49
11.0,12 Aug 12:14,12 Aug 2021,12:14:31,7.78
12.0,16 Aug 10:05,16 Aug 2021,10:05:25,7.8
13.0,16 Aug 15:15,16 Aug 2021,15:15:28,7.31
14.0,16 Aug 16:15,16 Aug 2021,16:15:54,7.32
15.0,16 Aug 17:19,16 Aug 2021,17:19:32,7.33
16.0,16 Aug 18:19,16 Aug 2021,18:19:53,7.34
17.0,16 Aug 19:20,16 Aug 2021,19:20:17,7.35
18.0,19 Aug 21:09,19 Aug 2021,21:09:25,8.06
19.0,19 Aug 22:09,19 Aug 2021,22:09:52,8.53
20.0,23 Aug 15:16,23 Aug 2021,15:16:38,8.43
21.0,23 Aug 18:03,23 Aug 2021,18:03:46,8.42
22.0,28 Aug 10:21,28 Aug 2021,10:21:18,8.25
23.0,28 Aug 11:35,28 Aug 2021,11:35:06,8.26
24.0,28 Aug 12:45,28 Aug 2021,12:45:39,8.25
25.0,28 Aug 15:26,28 Aug 2021,15:26:51,8.24
26.0,28 Aug 18:00,28 Aug 2021,18:00:08,8.22
27.0,28 Aug 19:18,28 Aug 2021,19:18:38,8.21
,03 Sep 02:17,03 Sep 2021,02:17:33,8.53
,03 09 10:54,03 Sep 2021,10:54:46,8.59
,10 Sep 17:38,10 Sep 2021,17:38:26,8.25
,10 Sep 23:30,10 Sep 2021,23:30:16,8.27
,12 Sep 17:30,12 Sep 2021,17:30:03,8.26
,12 Sep 18:42,12 Sep 2021,18:42:45,8.25
